Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Total censo electoral,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,UNION DE CENTRO DEMOCRATICO_UCD_votos,UNION DE CENTRO DEMOCRATICO_UCD_diputados,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_votos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_diputados,PARTIDO COMUNISTA DE ESPAÑA_PCE_votos,PARTIDO COMUNISTA DE ESPAÑA_PCE_diputados,COALICION DEMOCRATICA_CD_votos,COALICION DEMOCRATICA_CD_diputados,COALICION CONVERGENCIA Y UNIO_CIU_votos,COALICION CONVERGENCIA Y UNIO_CIU_diputados,PARTIDO UNION NACIONAL_UN_votos,PARTIDO UNION NACIONAL_UN_diputados,PARTIDO ANDALUCISTA_PSA-PA_votos,PARTIDO ANDALUCISTA_PSA-PA_diputados,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_PNV_votos,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_PNV_diputados,PARTIDO DEL TRABAJO DE ESPAÑA_PTE_votos,PARTIDO DEL TRABAJO DE ESPAÑA_PTE_diputados,HERRI BATASUNA_HB_votos,HERRI BATASUNA_HB_diputados,PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)_PSOE-H_votos,PART. SOCIALISTA OBRERO ESPAÑOL(SECTOR HISTORICO)_PSOE-H_diputados,ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES_ORT_votos,ORGANIZACION REVOLUCIONARIA DE LOS TRABAJADORES_ORT_diputados,ESQUERRA REPUBLICANA DE CATALUNYA - FRONT NACIONAL_ERFN_votos,ESQUERRA REPUBLICANA DE CATALUNYA - FRONT NACIONAL_ERFN_diputados,EUSKADIKO EZKERRA_EE_votos,EUSKADIKO EZKERRA_EE_diputados,MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA_MC-OIC_votos,MOVIMIENTO COMUNISTA-ORGANIZ.IZQUIERDA COMUNISTA_MC-OIC_diputados,BLOQUE NACIONAL POPULAR GALLEGO_BNPG_votos,BLOQUE NACIONAL POPULAR GALLEGO_BNPG_diputados,UNION DEL PUEBLO CANARIO_C-UPC_votos,UNION DEL PUEBLO CANARIO_C-UPC_diputados,BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL_BEAN_votos,BLOC D'ESQUERRAD'ALLIBERAMENT NACIONAL_BEAN_diputados,UNIDADE GALEGA_PG-POG-PSG_votos,UNIDADE GALEGA_PG-POG-PSG_diputados,IZQUIERDA REPUBLICANA_IR_votos,IZQUIERDA REPUBLICANA_IR_diputados,PARTIDO CARLISTA_PCARL_votos,PARTIDO CARLISTA_PCARL_diputados,ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA_OCEBR-UCE_votos,ORGANIZ. COMUNISTA DE ESPAÑA B.R.-UNIF.COMUNISTA_OCEBR-UCE_diputados,PARTIDO COMUNISTA DE LOS TRABAJADORES_PCT_votos,PARTIDO COMUNISTA DE LOS TRABAJADORES_PCT_diputados,PARTIDO ARAGONES REGIONALISTA_PAR_votos,PARTIDO ARAGONES REGIONALISTA_PAR_diputados,LIGA COMUNISTA REVOLUCIONARIA_LCR_votos,LIGA COMUNISTA REVOLUCIONARIA_LCR_diputados,UNION FORAL PAIS VASCO_UFV_votos,UNION FORAL PAIS VASCO_UFV_diputados,FALANGE ESPAÑOLA DE LAS JONS AUTENTICA_FJONSA_votos,FALANGE ESPAÑOLA DE LAS JONS AUTENTICA_FJONSA_diputados,UNION DEL PUEBLO NAVARRO_UPN_votos,UNION DEL PUEBLO NAVARRO_UPN_diputados,COALICION POR ARAGON_PSAR - PSDA_votos,COALICION POR ARAGON_PSAR - PSDA_diputados,PARTIDO NACIONALISTA DE CASTILLA Y LEON_PANCAL_votos,PARTIDO NACIONALISTA DE CASTILLA Y LEON_PANCAL_diputados,PARTIDO LIBERAL_PLIB_votos,PARTIDO LIBERAL_PLIB_diputados,UNIO REGIONAL VALENCIANISTA_URV_votos,UNIO REGIONAL VALENCIANISTA_URV_diputados,PARTIT NACIONALISTA DEL PAIS VALENCIA_PNPV_votos,PARTIT NACIONALISTA DEL PAIS VALENCIA_PNPV_diputados,UNION NAVARRA DE IZQUIERDA_UNAI_votos,UNION NAVARRA DE IZQUIERDA_UNAI_diputados,PARTIDO RURALISTA ESPAÑOL_PRE_votos,PARTIDO RURALISTA ESPAÑOL_PRE_diputados,PARTIDO DEL PAIS CANARIO_PDPCAN_votos,PARTIDO DEL PAIS CANARIO_PDPCAN_diputados,SOCIALISTAS DE MALLORCA I MENORCA_SMIM_votos,SOCIALISTAS DE MALLORCA I MENORCA_SMIM_diputados,PARTIDO SINDICALISTA_PSIN_votos,PARTIDO SINDICALISTA_PSIN_diputados,UNION PARA LA LIBERTAD DE EXPRESION_ULE_votos,UNION PARA LA LIBERTAD DE EXPRESION_ULE_diputados,ESTAT CATALA_E CATALA_votos,ESTAT CATALA_E CATALA_diputados,PARTIDO CANTONAL_PCant_votos,PARTIDO CANTONAL_P-Cant_diputados,CANDIDATURA INDEPENDIENTE DEL CAMPO_CIC_votos,CANDIDATURA INDEPENDIENTE DEL CAMPO_CIC_diputados,DEMOCRACIAL SOCIAL CRISTIANA DE CATALUÑA_DSCC_votos,DEMOCRACIAL SOCIAL CRISTIANA DE CATALUÑA_DSCC_diputados,PARTIDO PROVERISTA_PPROV_votos,PARTIDO PROVERISTA_PPROV_diputados,ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA_ARDE_votos,ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA_ARDE_diputados,LIGA COMUNISTA_LC_votos,LIGA COMUNISTA_LC_diputados,CONCEYU NACIONALISTA ASTUR_CNA_votos,CONCEYU NACIONALISTA ASTUR_CNA_diputados,FALANGE ESPAÑOLA AUTENTICA_FEA_votos,FALANGE ESPAÑOLA AUTENTICA_FEA_diputados,PARTIDO INDEPENDIENTE PRO POLITICA AUSTERA_PIPPA_votos,PARTIDO INDEPENDIENTE PRO POLITICA AUSTERA_PIPPA_diputados,PARTIDO OBRERO Y CAMPESINO_POC_votos,PARTIDO OBRERO Y CAMPESINO_POC_diputados,CANDIDATOS INDEPENDIENTES_CIME_votos,CANDIDATOS INDEPENDIENTES_CIME_diputados,FALANGE ESPAÑOLA INDEPENDIENTE-UNIDAD FALANGISTA_UF-FI-AT_votos,FALANGE ESPAÑOLA INDEPENDIENTE-UNIDAD FALANGISTA_UF-FI-AT_diputados,FALANGE ESPAÑOLA - UNIDAD FALANGISTA_FE-UF_votos,FALANGE ESPAÑOLA - UNIDAD FALANGISTA_FE-UF_diputados
Andalucía                     ,4,Almería                                           ,411665,393,278280,184489,182899,182539,360,1590,80854,3,67782,2,13534,0,8067,0,0,0,3097,0,5074,0,0,0,872,0,0,0,0,0,302,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,413,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,11,Cádiz                                             ,999129,1012,643731,422011,413958,412986,972,8053,121800,2,124693,3,43824,1,13465,0,0,0,4538,0,81598,2,0,0,13254,0,0,0,1732,0,970,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,729,0,661,0,1133,0,1458,0,0,0,767,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,14,Córdoba                                           ,744359,753,512633,373627,369849,369281,568,3778,110734,3,111237,3,70554,1,20909,0,0,0,7427,0,36826,0,0,0,4080,0,0,0,3168,0,467,0,0,0,0,0,1078,0,0,0,0,0,0,0,0,0,581,0,0,0,1063,0,634,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,18,Granada                                           ,771227,668,524797,360733,358073,357633,440,2660,131107,3,128002,3,45384,1,16958,0,0,0,4381,0,22136,0,0,0,3161,0,0,0,2123,0,304,0,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,390,0,174,0,1412,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0
Andalucía                     ,21,Huelva                                            ,422092,417,282075,186498,184404,184072,332,2094,68756,3,65302,2,12913,0,6080,0,0,0,3010,0,17720,0,0,0,1099,0,0,0,2009,0,4330,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,375,0,393,0,539,0,0,0,718,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,23,Jaén                                              ,671563,661,464993,332326,329075,328718,357,3251,111209,3,137861,3,42466,1,11752,0,0,0,9294,0,11335,0,0,0,1388,0,0,0,1088,0,398,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,422,0,0,0,398,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,29,Málaga                                            ,989971,1015,651876,419157,413179,412302,877,5978,120201,3,148497,3,53036,1,16304,0,0,0,7338,0,49552,1,0,0,6948,0,0,0,4628,0,605,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,953,0,466,0,932,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía                     ,41,Sevilla                                           ,1452450,1854,978772,698818,692141,691090,1051,6677,191099,4,203468,4,110731,2,32428,0,0,0,9225,0,101601,2,0,0,27337,0,0,0,3706,0,1086,0,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,741,0,0,0,4271,0,1134,0,0,0,774,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,986,0,0,0,0,0,0,0
Aragón                        ,22,Huesca                                            ,217244,399,168014,119654,117782,117320,462,1872,56449,2,40885,1,7724,0,5280,0,0,0,900,0,0,0,0,0,665,0,0,0,1017,0,263,0,0,0,0,0,629,0,0,0,0,0,0,0,0,0,1308,0,166,0,247,0,0,0,0,0,177,0,0,0,247,0,0,0,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,44,Teruel                                            ,157996,323,122441,85295,84350,83902,448,945,46775,2,22886,1,2737,0,6971,0,0,0,2000,0,0,0,0,0,475,0,0,0,0,0,151,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,246,0,197,0,152,0,322,0,0,0,128,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,50,Zaragoza                                          ,820853,1169,609306,431657,424731,423096,1635,6926,153457,4,113600,3,34000,0,22969,0,0,0,7843,0,0,0,0,0,19883,0,0,0,4022,0,2432,0,0,0,0,0,2780,0,0,0,0,0,0,0,0,0,2086,0,872,0,756,0,1416,0,38042,1,788,0,0,0,908,0,0,0,17242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias        ,33,Asturias                                          ,1162712,1442,868893,545179,537364,536168,1196,7815,177459,4,200346,4,73744,1,46365,1,0,0,11178,0,0,0,0,0,1489,0,0,0,3101,0,2518,0,0,0,0,0,6003,0,0,0,0,0,0,0,0,0,1740,0,0,0,1149,0,3102,0,0,0,1312,0,0,0,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3049,0,0,0,0,0,0,0,0,0,1188,0,0,0
Illes Balears                 ,7,Illes Balears                                     ,634248,870,452061,314850,300331,299197,1134,14519,146927,4,88232,2,14757,0,27554,0,0,0,3165,0,0,0,0,0,1793,0,0,0,0,0,1070,0,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,0,0,1257,0,0,0,1544,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10022,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarias                      ,35,Las Palmas                                        ,685799,936,421003,296783,287790,286766,1024,8993,171842,4,41616,1,8245,0,8607,0,0,0,2218,0,0,0,0,0,1315,0,0,0,0,0,1165,0,0,0,0,0,0,0,0,0,38304,1,0,0,0,0,1019,0,774,0,0,0,0,0,0,0,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10099,0,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarias                      ,38,Santa Cruz de Tenerife                            ,694628,751,474841,250940,246409,245740,669,4531,139908,5,53604,2,11560,0,11204,0,0,0,3482,0,0,0,0,0,1644,0,0,0,0,0,1796,0,0,0,0,0,0,0,0,0,20649,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantabria                     ,39,Cantabria                                         ,510460,806,375666,264658,259307,258132,1175,5351,108552,3,78512,2,17140,0,26707,0,0,0,10106,0,0,0,0,0,4014,0,0,0,3735,0,3267,0,0,0,0,0,872,0,0,0,0,0,0,0,0,0,643,0,1013,0,772,0,0,0,0,0,752,0,0,0,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0
Castilla - La Mancha          ,2,Albacete                                          ,340797,499,238682,170678,169109,168750,359,1569,65883,2,65465,2,20945,0,8224,0,0,0,3753,0,0,0,0,0,455,0,0,0,2205,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,241,0,481,0,338,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,13,Ciudad Real                                       ,495903,593,360747,246203,243851,243398,453,2352,100896,3,95996,2,19171,0,11659,0,0,0,10004,0,0,0,0,0,2238,0,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,840,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,16,Cuenca                                            ,226573,344,167946,124450,122718,122200,518,1732,64273,3,38654,1,10049,0,7388,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,319,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,177,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0,0,0,0,0,0,0
