Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Solicitudes voto CERA aceptadas,Total votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,PARTIDO POPULAR_PP_votos,PARTIDO POPULAR_PP_diputados,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_votos,PARTIDO SOCIALISTA OBRERO ESPAÑOL_PSOE_diputados,CIUDADANOS-PARTIDO DE LA CIUDADANÍA_C's_votos,CIUDADANOS-PARTIDO DE LA CIUDADANÍA_C's_diputados,PODEMOS_PODEMOS_votos,PODEMOS_PODEMOS_diputados,EN COMÚ PODEM_EN COMÚ_votos,EN COMÚ PODEM_EN COMÚ_diputados,"UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN_IU-UPeC_votos","UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN_IU-UPeC_diputados",COMPROMÍS-PODEMOS-ÉS EL MOMENT_PODEMOS-COM_votos,COMPROMÍS-PODEMOS-ÉS EL MOMENT_PODEMOS-COM_diputados,ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ_ERC-CATSI_votos,ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ_ERC-CATSI_diputados,DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES._DL_votos,DEMOCRÀCIA I LLIBERTAT. CONVERGÈNCIA. DEMÒCRATES._DL_diputados,EN MAREA_PODEMOS-En_votos,EN MAREA_PODEMOS-En_diputados,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_votos,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO_EAJ-PNV_diputados,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL_PACMA_votos,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL_PACMA_diputados,EUSKAL HERRIA BILDU_EH Bildu_votos,EUSKAL HERRIA BILDU_EH Bildu_diputados,UNIÓN PROGRESO Y DEMOCRACIA_UPYD_votos,UNIÓN PROGRESO Y DEMOCRACIA_UPYD_diputados,COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO_CCa-PNC_votos,COALICIÓN CANARIA - PARTIDO NACIONALISTA CANARIO_CCa-PNC_diputados,NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG)_NÓS_votos,NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG)_NÓS_diputados,UNIÓ DEMOCRÀTICA DE CATALUNYA_unio.cat_votos,UNIÓ DEMOCRÀTICA DE CATALUNYA_unio.cat_diputados,VOX_VOX_votos,VOX_VOX_diputados,RECORTES CERO-GRUPO VERDE_RECORTES CE_votos,RECORTES CERO-GRUPO VERDE_RECORTES CE_diputados,MÉS_MÉS_votos,MÉS_MÉS_diputados,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA_PCPE_votos,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA_PCPE_diputados,GEROA BAI_GBAI_votos,GEROA BAI_GBAI_diputados,EL PI - PROPOSTA PER LES ILLES_EL PI_votos,EL PI - PROPOSTA PER LES ILLES_EL PI_diputados,CIUDADANOS DE CENTRO DEMOCRÁTICO_CCD_votos,CIUDADANOS DE CENTRO DEMOCRÁTICO_CCD_diputados,ESCAÑOS EN BLANCO_EB_votos,ESCAÑOS EN BLANCO_EB_diputados,FALANGE ESPAÑOLA DE LAS J.O.N.S._FE de las J_votos,FALANGE ESPAÑOLA DE LAS J.O.N.S._FE de las J_diputados,X LA IZQUIERDA-LOS VERDES_X LA IZQUIE_votos,X LA IZQUIERDA-LOS VERDES_X LA IZQUIE_diputados,SOM VALENCIANS_SOMVAL_votos,SOM VALENCIANS_SOMVAL_diputados,POR UN MUNDO MÁS JUSTO_PUM+J_votos,POR UN MUNDO MÁS JUSTO_PUM+J_diputados,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA_SAIn_votos,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA_SAIn_diputados,LOS VERDES-ECOPACIFISTAS_CENTRO MODE_votos,LOS VERDES-ECOPACIFISTAS_CENTRO MODE_diputados,PARTIDO DA TERRA_PT_votos,PARTIDO DA TERRA_PT_diputados,"CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y A_CANARIAS DE_votos","CANARIAS DECIDE: LOS VERDES, UNIDAD DEL PUEBLO Y A_CANARIAS DE_diputados",PARTIDO LIBERTARIO_P-LIB_votos,PARTIDO LIBERTARIO_P-LIB_diputados,PARTIDO HUMANISTA_PH_votos,PARTIDO HUMANISTA_PH_diputados,"ARA, PAÍS VALENCIÀ_ARAPV_votos","ARA, PAÍS VALENCIÀ_ARAPV_diputados",EXTREMADURA UNIDA-EXTREMEÑOS_EU-eX_votos,EXTREMADURA UNIDA-EXTREMEÑOS_EU-eX_diputados,PARTIDO COMUNISTA OBRERO ESPAÑOL_PCOE_votos,PARTIDO COMUNISTA OBRERO ESPAÑOL_PCOE_diputados,DEMOCRACIA NACIONAL_DN_votos,DEMOCRACIA NACIONAL_DN_diputados,INICIATIVA FEMINISTA_IFem_votos,INICIATIVA FEMINISTA_IFem_diputados,PARTIDO REGIONALISTA DEL PAÍS LEONES_PREPAL_votos,PARTIDO REGIONALISTA DEL PAÍS LEONES_PREPAL_diputados,EN POSITIU_EN POSITIU_votos,EN POSITIU_EN POSITIU_diputados,CIUDADANOS LIBRES UNIDOS_CILUS_votos,CIUDADANOS LIBRES UNIDOS_CILUS_diputados,CIUDADANOS RURALES AGRUPADOS_CRA_votos,CIUDADANOS RURALES AGRUPADOS_CRA_diputados,"LIBERTAD NAVARRA, LIBERTATE NAFARRA_Ln_votos","LIBERTAD NAVARRA, LIBERTATE NAFARRA_Ln_diputados",AVANT VALENCIANS_AVANT_votos,AVANT VALENCIANS_AVANT_diputados,MÁLAGA POR SÍ_mlgXSÍ_votos,MÁLAGA POR SÍ_mlgXSÍ_diputados,FAMILIA Y VIDA_PFyV_votos,FAMILIA Y VIDA_PFyV_diputados,ANDALUCES DE JAÉN UNIDOS_AJU_votos,ANDALUCES DE JAÉN UNIDOS_AJU_diputados,INDEPENDIENTES POR ARAGÓN_Independien_votos,INDEPENDIENTES POR ARAGÓN_Independien_diputados,FORO DEMÓCRATA_FDEE_votos,FORO DEMÓCRATA_FDEE_diputados,SOLUCIONA_SOLUCIONA_votos,SOLUCIONA_SOLUCIONA_diputados,"JUSTIZIA SOCIAL, PARTICIPACIÓN CIUDADANA_JS,PC_votos","JUSTIZIA SOCIAL, PARTICIPACIÓN CIUDADANA_JS,PC_diputados",MUERTE AL SISTEMA_+MAS+_votos,MUERTE AL SISTEMA_+MAS+_diputados,PARTIDO LIBERAL DE DERECHAS_PLD_votos,PARTIDO LIBERAL DE DERECHAS_PLD_diputados,ONGI ETORRI_OE_votos,ONGI ETORRI_OE_diputados
Andalucía,11,Cádiz,1240175,1483,968097,25521,993618,2180,0,1401,652400,646537,639756,6781,5863,179319,3,180895,3,94962,1,130734,2,0,0,38881,0,0,0,0,0,0,0,0,0,0,0,7591,0,0,0,3637,0,0,0,0,0,0,0,1493,0,1042,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,14,Córdoba,799402,901,635086,16641,651727,1430,0,968,472696,467652,463171,4481,5044,142101,2,149851,2,55812,1,68740,1,0,0,37650,0,0,0,0,0,0,0,0,0,0,0,3529,0,0,0,2069,0,0,0,0,0,0,0,0,0,605,0,0,0,876,0,0,0,0,0,0,0,631,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,4,Almería,704523,759,452589,37603,490192,2125,0,1256,312315,309896,307685,2211,2419,117635,2,89434,2,44494,1,39780,1,0,0,10828,0,0,0,0,0,0,0,0,0,0,0,2126,0,0,0,1532,0,0,0,0,0,0,0,558,0,297,0,0,0,318,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,23,Jaén,659033,892,522173,11575,533748,975,0,645,391386,387500,384787,2713,3886,121984,2,148511,3,41398,0,48640,0,0,0,16771,0,0,0,0,0,0,0,0,0,0,0,2543,0,0,0,1287,0,0,0,0,0,0,0,715,0,371,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,0,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,18,Granada,920088,1087,702887,45302,748189,3243,0,1957,514478,510243,506801,3442,4235,158693,3,158027,2,70845,1,83650,1,0,0,26022,0,0,0,0,0,0,0,0,0,0,0,3843,0,0,0,2697,0,0,0,0,0,0,0,1245,0,638,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,29,Málaga,1623117,1630,1113952,46264,1160216,3676,0,2271,783158,776564,770840,5724,6594,224745,4,208896,3,132586,2,132980,2,0,0,52772,0,0,0,0,0,0,0,0,0,0,0,8886,0,0,0,4522,0,0,0,0,0,0,0,1817,0,974,0,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0
Andalucía,41,Sevilla,1941355,2519,1501271,29890,1531161,3297,0,2231,1105238,1094021,1084053,9968,11217,275463,3,371142,5,142574,2,208408,2,0,0,62309,0,0,0,0,0,0,0,0,0,0,0,9976,0,0,0,6421,0,0,0,0,0,0,0,2717,0,1413,0,0,0,893,0,0,0,0,0,0,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalucía,21,Huelva,519229,634,389811,6604,396415,586,0,334,262151,259090,256681,2409,3061,74353,2,95637,2,30776,0,39435,1,0,0,11786,0,0,0,0,0,0,0,0,0,0,0,2385,0,0,0,1014,0,0,0,0,0,0,0,460,0,336,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,44,Teruel,140365,328,105453,4531,109984,419,0,288,78784,77702,76819,883,1082,28282,2,19938,1,11427,0,11895,0,0,0,3897,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,456,0,0,0,0,0,0,0,0,0,139,0,0,0,97,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,50,Zaragoza,960111,1416,714370,20709,735079,2720,0,1373,537626,533732,529075,4657,3894,161662,3,118936,2,95130,1,102596,1,0,0,34869,0,0,0,0,0,0,0,0,0,0,0,4057,0,0,0,4514,0,0,0,0,0,0,0,1849,0,1088,0,0,0,845,0,0,0,0,0,0,0,2967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón,22,Huesca,224909,393,167331,6741,174072,844,0,579,123297,122145,120894,1251,1152,39747,1,30183,1,19789,0,21943,1,0,0,6433,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,833,0,0,0,0,0,0,0,0,0,249,0,0,0,257,0,0,0,0,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asturias, Principado de",33,Asturias,1061756,1544,876171,108916,985087,6739,0,4207,628200,622967,617376,5591,5233,187568,3,145113,2,84464,1,132984,2,0,0,52583,0,0,0,0,0,0,0,0,0,0,0,4555,0,0,0,3855,0,0,0,0,0,0,0,1715,0,1038,0,0,0,1240,0,0,0,0,0,0,0,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Balears, Illes",7,"Balears, Illes",1103442,1182,748577,22804,771381,1509,0,584,488666,483970,479973,3997,4696,140640,3,88635,2,71551,1,111628,2,0,0,11451,0,0,0,0,0,0,0,0,0,0,0,5114,0,0,0,2276,0,0,0,0,0,0,0,0,0,1177,0,33877,0,0,0,0,0,12910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarias,38,Santa Cruz de Tenerife,1004788,1259,733362,97006,830368,3955,0,659,483294,477929,474778,3151,5365,138203,2,102892,2,50257,1,94936,1,0,0,15716,0,0,0,0,0,0,0,0,0,0,0,6537,0,0,0,2117,0,60129,1,0,0,0,0,772,0,1182,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarias,35,"Palmas, Las",1100027,1503,798145,40398,838543,1821,0,764,523637,516102,511991,4111,7535,145372,3,115521,2,63385,1,136583,2,0,0,15262,0,0,0,0,0,0,0,0,0,0,0,5351,0,0,0,2564,0,21788,0,0,0,0,0,774,0,1478,0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,300,0,0,0,0,0,1605,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantabria,39,Cantabria,588656,718,464081,34690,498771,2311,0,1284,353975,350071,347222,2849,3904,129216,2,78460,1,53371,1,62569,1,0,0,15488,0,0,0,0,0,0,0,0,0,0,0,2943,0,0,0,2875,0,0,0,0,0,0,0,901,0,529,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha,2,Albacete,396987,522,304089,6585,310674,749,0,511,233882,231582,229855,1727,2300,85241,2,65205,1,33755,1,32320,0,0,0,9306,0,0,0,0,0,0,0,0,0,0,0,1583,0,0,0,1146,0,0,0,0,0,0,0,538,0,305,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0
Castilla - La Mancha,19,Guadalajara,255426,515,178749,3572,182321,474,0,294,137830,136268,135289,979,1562,47365,1,30685,1,24603,1,23827,0,0,0,5628,0,0,0,0,0,0,0,0,0,0,0,1152,0,0,0,1026,0,0,0,0,0,0,0,645,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha,13,Ciudad Real,519613,708,396293,5592,401885,713,0,502,299003,295576,293294,2282,3427,113451,3,91959,2,36477,0,36879,0,0,0,9834,0,0,0,0,0,0,0,0,0,0,0,1949,0,0,0,1625,0,0,0,0,0,0,0,560,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha,45,Toledo,699136,901,509333,9505,518838,1094,0,669,390379,385498,383173,2325,4881,149442,2,106988,2,53199,1,52587,1,0,0,13590,0,0,0,0,0,0,0,0,0,0,0,3039,0,0,0,1901,0,0,0,0,0,0,0,1509,0,612,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha,16,Cuenca,207449,386,156088,2798,158886,317,0,212,122477,121095,120164,931,1382,50736,2,37019,1,13049,0,14113,0,0,0,3628,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,464,0,0,0,0,0,0,0,356,0,165,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León,24,León,484694,730,398416,43959,442375,3233,0,1969,295812,292401,289458,2943,3411,104077,2,74128,1,37902,1,51441,1,0,0,13997,0,0,0,0,0,0,0,0,0,0,0,1838,0,0,0,2047,0,0,0,0,0,0,0,745,0,482,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,922,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León,5,Ávila,167015,342,132575,7380,139955,634,0,418,103251,102017,101273,744,1234,47072,2,20254,1,15971,0,11951,0,0,0,3905,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,908,0,0,0,0,0,0,0,330,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León,47,Valladolid,529157,815,421369,12298,433667,1713,0,1188,331631,328745,326062,2683,2886,121323,2,70879,1,56347,1,50204,1,0,0,17935,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,2940,0,0,0,0,0,0,0,1230,0,489,0,0,0,429,0,0,0,0,0,1579,0,0,0,411,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León,9,Burgos,366900,718,284916,16069,300985,1438,0,917,218037,215787,213738,2049,2250,82037,2,44640,1,33558,0,36818,1,0,0,10171,0,0,0,0,0,0,0,0,0,0,0,1431,0,0,0,2356,0,0,0,0,0,0,0,926,0,452,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León,37,Salamanca,342459,639,280762,28596,309358,2046,0,1414,211743,209467,207470,1997,2276,89375,2,45593,1,35242,1,25743,0,0,0,7017,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,1669,0,0,0,0,0,0,0,822,0,319,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León,40,Segovia,159303,316,118502,2938,121440,333,0,243,93139,91836,90933,903,1303,36182,2,19769,1,15665,0,13144,0,0,0,3742,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,1274,0,0,0,0,0,0,0,0,0,227,0,0,0,190,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León,34,Palencia,167609,330,137517,6910,144427,616,0,389,105955,104678,103685,993,1277,42182,2,25698,1,14814,0,14083,0,0,0,4699,0,0,0,0,0,0,0,0,0,0,0,624,0,0,0,828,0,0,0,0,0,0,0,0,0,159,0,0,0,126,0,0,0,0,0,0,0,182,0,218,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León,49,Zamora,185432,370,155512,18933,174445,1154,0,769,114703,113169,111942,1227,1534,48160,2,25985,1,14608,0,15865,0,0,0,5514,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,747,0,0,0,0,0,0,0,0,0,187,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla y León,42,Soria,92221,247,70718,6268,76986,435,0,273,52483,51836,51157,679,647,20030,1,12331,1,7872,0,8328,0,0,0,1836,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,327,0,0,0,0,0,0,0,0,0,86,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataluña,25,Lleida,438001,534,299069,14767,313836,1385,0,963,200496,198669,196545,2124,1827,22360,0,24668,1,17897,0,0,0,30538,1,0,0,0,0,44317,1,48289,1,0,0,0,0,1743,0,0,0,687,0,0,0,0,0,4867,0,465,0,398,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataluña,8,Barcelona,5523784,5866,3974408,153773,4128181,15906,0,8454,2873383,2858407,2840288,18119,14976,321980,4,464588,5,387061,4,0,0,768235,9,0,0,0,0,414163,5,378723,4,0,0,0,0,34394,0,0,0,6595,0,0,0,0,0,48326,0,0,0,10730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
